#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BayesianSkyline" spec="beast.base.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="popSizes" name="popSizes" spec="beast.base.inference.parameter.RealParameter">0.5 0.5 0.5 0.5</parameter>
#            <groupSizes dimension="4" id="groupSizes" lower="1" spec="beast.base.inference.parameter.IntegerParameter">1 1 1 1</groupSizes>
#            <treeIntervals id="TreeIntervals" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainDistribution" parameter="@popSizes" spec="beast.base.inference.distribution.MarkovChainDistribution"/>
#        <prior id="popSize1.prior" name="distribution">
#            <x arg="@popSizes" id="popSize1" index="0" spec="feast.function.Slice"/>
#            <LogNormal id="popSizeLogNormal" name="distr">
#                <parameter id="popSizeLNMean" name="M" spec="beast.base.inference.parameter.RealParameter">2.35</parameter>
#                <parameter id="popSizeLNStdv" name="S" spec="beast.base.inference.parameter.RealParameter">2.35</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="pi.prior" name="distribution">
#            <parameter dimension="16" id="pi" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25371241506630055 5.713747197661936E-4 9.153709861939678E-4 5.398360967800192E-4 2.4404886834539748E-4 0.24628593291059064 4.4330538285447817E-4 8.829688056736481E-4 2.4404886834539748E-4 2.4404886834539748E-4 0.24631983693030077 6.5318740963152E-4 2.4404886834539748E-4 2.4404886834539748E-4 2.4404886834539748E-4 0.2482114784818358</parameter>
#            <distr id="Dirichlet0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="16" estimate="false" id="RealParameter1" name="alpha" spec="beast.base.inference.parameter.RealParameter">3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0</parameter>
#            </distr>
#        </prior>
#        <prior id="rates.prior" name="distribution">
#            <parameter dimension="6" id="rates" keys="AC AG AT CG CT GT" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.021628849808143478 0.021728584159481066 0.4108965964198053 0.010340925301732851 0.2858714546264878 0.24953358968434944</parameter>
#            <distr id="Dirichlet1" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="6" estimate="false" id="RealParameter2" name="alpha" spec="beast.base.inference.parameter.RealParameter">1.0 2.0 1.0 1.0 2.0 1.0</parameter>
#            </distr>
#        </prior>
#        <prior id="deltaPrior" name="distribution">
#            <parameter id="error.delta" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Beta id="Beta.delta" name="distr">
#                <parameter estimate="false" id="delta.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="delta.2" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Beta>
#        </prior>
#        <prior id="epsilonPrior" name="distribution">
#            <parameter id="error.epsilon" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.01</parameter>
#            <Beta id="Beta.epsilon" name="distr">
#                <parameter estimate="false" id="epsilon.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="epsilon.2" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Beta>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood" spec="phylonco.beast.evolution.likelihood.BeagleTreeLikelihoodWithError" tree="@Tree" useAmbiguities="true" useTipLikelihoods="true">
#            <errorModel delta="@error.delta" epsilon="@error.epsilon" id="errorModel" spec="phylonco.beast.evolution.errormodel.GT16ErrorModel">
#                <datatype id="datatype" spec="phylonco.beast.evolution.datatype.NucleotideDiploid16"/>
#            </errorModel>
#            <siteModel id="SiteModel" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gt16" nucRates="@rates" spec="phylonco.beast.evolution.substitutionmodel.GT16">
#                    <frequencies frequencies="@pi" id="estimatedFreqs" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="strictClock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter id="clockRate.tumour" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	error.delta	error.epsilon	Tree.height	Tree.treeLength	popSizes.1	popSizes.2	popSizes.3	popSizes.4	groupSizes.1	groupSizes.2	groupSizes.3	groupSizes.4	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.10	pi.11	pi.12	pi.13	pi.14	pi.15	pi.16	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	
0	-56894.07165105442	-56923.10401747514	29.032366420716645	-56923.10401747514	0.2714290089888323	1.0108714217445204E-5	0.09199482330346363	0.4477068135177321	0.671858941941955	0.04334130986405781	0.017373237514273204	0.06150878999847573	2	12	3	3	0.05023912843744149	3.4164622659276953E-4	0.2188307641323903	0.06956142668791297	0.14797823537550694	0.039048351148084894	7.198897397417786E-4	5.853232028199255E-4	6.5069587669878E-4	0.04062304799778967	0.036598335680569236	0.12185196781423048	0.0012359988394243253	0.2209716972277949	3.080656731474462E-4	0.05045542593985419	0.191727441953717	0.0948951809945359	0.16260837171660603	0.38232808157948706	0.1410017685007998	0.027439155254854092	
10000	-56881.5196577434	-56906.94195438688	25.42229664347676	-56906.94195438688	0.2714290089888323	1.3740361790712496E-4	0.08713931022590266	0.4458571139323192	0.23687277548403596	0.040830180248355934	0.035231338841607736	0.04020039760219265	3	9	4	4	0.051199976595440504	1.3854098240239222E-4	0.21512392898811608	0.07086353720855092	0.14238260130172758	0.03938078874030574	0.001128675028800128	4.98000511895668E-4	6.174987176160876E-4	0.041326353533327316	0.03794215661175144	0.1296927276305796	4.234418701302147E-4	0.22228450381283626	5.572688189376961E-4	0.046439999647582574	0.1861824935950197	0.10415894570930759	0.18254646479696135	0.3629231165856402	0.14271668997309864	0.02147228933997254	
20000	-56891.34810927434	-56912.05529224493	20.707182970586114	-56912.05529224493	0.26797079171868077	2.297715852325559E-5	0.11064576971352402	0.4979501154458819	0.15487031179763436	0.10589530077861613	0.11726390842958978	0.057972557300321824	1	8	4	7	0.0512534305943683	3.861350404424974E-4	0.2228127251540071	0.06815490649621012	0.13869347606694887	0.0441444134138514	0.0019810648485727366	3.8080876674259016E-4	7.118587387881935E-4	0.04061732035682361	0.03844149854700234	0.12652186505695018	4.234418701302147E-4	0.21717402425794433	1.2855960661311875E-4	0.04817447118460463	0.18309979116749964	0.10719819789350063	0.20036536081334416	0.336081333466354	0.14939161242611923	0.023863704233182317	
30000	-56889.38657666391	-56904.58641870293	15.199842039023324	-56904.58641870293	0.2667178868204172	3.855403298250158E-6	0.0929950328373207	0.48763977079222937	0.5688725708466349	0.2516050361278319	0.09470804355017443	0.1829544822781416	2	1	15	2	0.050135256975058176	9.91918939518068E-5	0.22254381946690577	0.06832969018560789	0.14877236787717799	0.040878435359837484	5.484031764386859E-4	7.375876074627636E-4	4.745196267556975E-4	0.04177812129650002	0.041427789371350054	0.12626959475655625	4.798197630013507E-4	0.2052997820627594	4.1742422937961936E-4	0.0518081963512573	0.17846882235206377	0.09725929297703156	0.19023123843820586	0.3460607090775439	0.16082355797534545	0.027156379179809433	
40000	-56893.11133601318	-56918.47402267202	25.36268665883682	-56918.47402267202	0.2667178868204172	1.9448902406382452E-5	0.09513151036445108	0.4652163683026368	0.8414675846502069	0.26456381491887154	0.04041552373825393	0.057302209756021565	3	1	4	12	0.04901544082293144	6.86912295523396E-4	0.21356162306551996	0.07109567223135355	0.14353830008690915	0.047291259600511844	0.002264056146227775	2.5805807014244706E-4	5.764588429129679E-4	0.048081313488793985	0.041088894070232855	0.12342878005637535	5.779984285596781E-4	0.21158870671041927	3.37017753241055E-4	0.046609508330345495	0.19141418870551397	0.11966543034784831	0.20476267600315737	0.27839821275727017	0.17767243362644264	0.028087058559767494	
50000	-56895.863106715726	-56921.17878382236	25.315677106634766	-56921.17878382236	0.2667178868204172	6.5793308505315315E-6	0.09455192200955072	0.4773901177879951	1.2361119063515988	0.423939852830134	0.060636491025616725	0.11024168213095759	1	1	16	2	0.04977550402707373	2.0921731615001143E-4	0.2160520116283449	0.06694096078224303	0.1459627617751489	0.04383181804930511	0.0013121953920684675	8.474081809270592E-4	7.012283078358948E-4	0.04686473891005344	0.03813690237567527	0.13030862562469206	0.0011262064649008616	0.21135670915808882	2.3537039540906366E-4	0.04633834161208359	0.18756397473808745	0.11747422007575117	0.26352962368554966	0.26818543272830964	0.13816471501325178	0.025082033759050312	
60000	-56886.20127283275	-56907.6367096053	21.435436772547618	-56907.6367096053	0.2667178868204172	2.479893398865293E-6	0.09792310273194327	0.47331866895008073	0.5134205803816443	0.18418420980146444	0.05516580204431062	0.08100328710707312	2	1	2	15	0.04740350361904638	2.487600802509311E-4	0.21115046575297614	0.06578477263330933	0.14923906512662052	0.04201778006052901	8.879274155737997E-4	5.078992737796768E-4	5.862523694762777E-4	0.04864017508932512	0.04013666315866715	0.13068604053360064	3.4086600203942326E-4	0.2112733567226879	2.5321726503404893E-4	0.050843254897083835	0.17234967820649827	0.12409902737794737	0.2490822285493509	0.2767425268197338	0.151551283527162	0.026175255519307522	
70000	-56891.98203073159	-56913.83197916568	21.849948434091353	-56913.83197916568	0.2667178868204172	8.341621855522482E-5	0.10301353791868388	0.47716190842233597	0.6964860086148967	0.5365329178250552	0.03479362998269016	0.03293296144875148	1	1	13	5	0.05421980061238942	2.487600802509311E-4	0.21938801049804463	0.07134273251130982	0.14590914584045042	0.043659390634041666	0.0016286069967636472	3.6167258291444073E-4	2.548625822223721E-4	0.03800116168499949	0.04183172775020859	0.1238562811837364	3.4086600203942326E-4	0.2113721565968334	4.268871791614117E-4	0.04715793726463417	0.18932502450793431	0.13501939461802742	0.19984900122460766	0.2716890240040614	0.1753291534376195	0.02878840220774962	
80000	-56885.439748646204	-56908.31719232232	22.877443676116382	-56908.31719232232	0.2667178868204172	1.3082468087664625E-4	0.09985505857002187	0.480787160914988	0.519461447059538	0.14905598904478665	0.05193722074686242	0.025410922856595776	1	3	15	1	0.05127675900671192	6.340740331720181E-4	0.2192896231219998	0.06972872691480154	0.1430011446139385	0.04496666171325708	4.048741457028663E-4	6.61270171270116E-4	2.8299863862042327E-4	0.044911101264654585	0.04205254698810183	0.12335709368861125	3.1208511306970207E-4	0.21222561423099448	5.223338279103631E-4	0.04637309252718373	0.18933398418591943	0.11943228525560139	0.18555947046705357	0.31314629841802205	0.16073812548252783	0.03178983619087575	
90000	-56890.35261851422	-56917.15030069912	26.797682184900996	-56917.15030069912	0.2667178868204172	2.670512346715178E-5	0.08751813592692088	0.44869832643820684	0.6151610128755876	0.1500609234584413	0.0710600485403638	0.028783482880498173	1	7	11	1	0.050845928600504145	8.102305469991642E-4	0.21693917630757617	0.06920789946357639	0.15107040277010786	0.0470951500118212	7.85785105741029E-4	7.79226266368355E-4	0.0010591884863842137	0.044093576486610414	0.04158875754601671	0.12156226678763513	3.292335347068713E-4	0.20927711557212683	3.090547889579012E-4	0.04424700772486785	0.17782464291219713	0.12724261387083663	0.22966151479494903	0.2534643203180109	0.18233805225991168	0.02946885584409465	
